id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Forrest;Howell;Keely_Hilll96@hotmail.com;window emphasize;2025-05-27T07:39:00;6762;14450
2;Dee;Ziemann;Montana_Lakin@yahoo.com;regarding grandpa for;2025-05-27T02:11:39;12796;12088
3;Dorian;Hintz;Carter_Halvorson@yahoo.com;till oh;2025-05-27T03:14:57;144;3846
4;Gudrun;Marquardt;Jannie.OKon@yahoo.com;alongside;2025-05-27T12:20:18;15633;23160
5;Juanita;Nolan;Ethan.Botsford@hotmail.com;brr sunbeam;2025-05-27T01:53:44;16250;23200
6;Jillian;Gerlach;Carrie_Jones@yahoo.com;jealously;2025-05-27T08:25:09;1777;28396
7;Jazmin;Swaniawski;Neil81@hotmail.com;why somber license;2025-05-27T12:20:22;21051;28988
8;Johnathon;Harber;Newton_Mitchell@yahoo.com;per closely;2025-05-26T19:33:06;32527;9004
9;Princess;Feil;Elroy.Mitchell90@hotmail.com;yuck unearth;2025-05-26T17:40:07;16980;622
10;Lavada;Schoen;Rita29@gmail.com;outside;2025-05-27T12:47:43;24002;24176
